OGLE-LMC-T2CEP-001 17.734 18.452   1.8139522 0.0000063  2162.79006  0.348  0.067 4.852  0.194 2.252
OGLE-LMC-T2CEP-002 15.711 16.632  18.3235458 0.0007387  2158.39503  0.900  0.126 6.139  0.039 4.172
OGLE-LMC-T2CEP-003 14.166 14.953  35.6599298 0.0083419  2142.86567  0.422  0.162 5.869  0.067 5.320
OGLE-LMC-T2CEP-004 17.612 18.124   1.9160177 0.0000023  2170.18129  0.816  0.482 4.664  0.285 2.273
OGLE-LMC-T2CEP-005 14.739 15.796  33.1853268 0.0029184  2170.33970  0.861  0.076 6.277  0.012 2.917
OGLE-LMC-T2CEP-006 18.037 18.513   1.0879243 0.0000024  2171.55516  0.479  0.240 4.608  0.108 2.902
OGLE-LMC-T2CEP-007 18.005 18.597   1.2426421 0.0000033  2166.63717  0.493  0.265 4.379  0.060 4.110
OGLE-LMC-T2CEP-008 17.842 18.585   1.7460989 0.0000067  2165.20369  0.536  0.207 5.438  0.138 2.724
OGLE-LMC-T2CEP-009 17.762 18.379   1.7613471 0.0000027  2166.42198  0.730  0.444 4.582  0.245 1.898
OGLE-LMC-T2CEP-010 17.979 18.633   1.5029635 0.0000036  2165.07607  0.620  0.328 4.396  0.062 0.569
OGLE-LMC-T2CEP-011 14.089 14.789  39.2566209 0.0172293  2151.25193  0.181  0.161 5.456  0.035 2.755
OGLE-LMC-T2CEP-012 16.193 17.184  11.5808121 0.0005217  2160.74057  0.293  0.128 1.867  0.043 2.268
OGLE-LMC-T2CEP-013 16.184 17.119  11.5446113 0.0005438  2157.45185  0.256  0.114 1.987  0.038 3.313
OGLE-LMC-T2CEP-014 14.312 15.103  61.8757127 0.0550170  2161.68872  0.161  0.043 0.349  0.075 5.230
OGLE-LMC-T2CEP-015 14.061 15.243  56.5214762 0.0484952  2146.45963  0.484  0.066 5.730  0.036 1.160
OGLE-LMC-T2CEP-016 15.458 15.891  20.2956426 0.0024385  2155.31689  0.173  0.661 5.439  0.072 6.055
OGLE-LMC-T2CEP-017 15.986 16.968  14.4547544 0.0002466  2157.70744  0.855  0.110 0.827  0.095 2.758
OGLE-LMC-T2CEP-018 17.964 18.609   1.3795871 0.0000037  2166.70059  0.626  0.315 4.401  0.055 5.926
OGLE-LMC-T2CEP-019 15.989 16.853   8.6748634 0.0000768  2162.74938  0.607  0.270 5.451  0.081 4.306
OGLE-LMC-T2CEP-020 18.036 18.469   1.1081258 0.0000021  2166.10854  0.686  0.386 4.607  0.103 2.816
OGLE-LMC-T2CEP-021 15.884 16.580   9.7595024 0.0003610  2161.10277  0.285  0.155 4.589  0.023 3.227
OGLE-LMC-T2CEP-022 16.271 17.179  10.7167800 0.0003055  2157.78714  0.380  0.123 1.297  0.064 2.367
OGLE-LMC-T2CEP-023 15.511 16.101   5.2348007 0.0000436  2163.87839  0.527  0.317 5.220  0.145 3.706
OGLE-LMC-T2CEP-024 18.096 18.718   1.2466746 0.0000032  2166.41439  0.525  0.242 4.571  0.046 4.718
OGLE-LMC-T2CEP-025 14.042 15.102  67.9654409 0.0616215  2147.81667  0.492  0.189 5.806  0.062 6.071
OGLE-LMC-T2CEP-026 16.091 17.026  13.5778689 0.0041969  2156.87252  0.312  0.077 2.340  0.108 1.869
OGLE-LMC-T2CEP-027 15.722 16.692  17.1335443 0.0005548  2155.15109  0.803  0.038 5.898  0.044 3.171
OGLE-LMC-T2CEP-028 15.543 16.045   8.7848073 0.0002400  2168.94800  0.240  0.152 4.894  0.079 4.852
OGLE-LMC-T2CEP-029 14.642 15.446  31.2454401 0.0070390   696.81548  0.378  0.225 5.840  0.039 5.564
OGLE-LMC-T2CEP-030 16.948 17.755   3.9353685 0.0000373  2166.20673  0.417  0.290 5.665  0.108 5.046
OGLE-LMC-T2CEP-031 16.664 17.561   6.7059083 0.0001745  2162.05297  0.141  0.114 6.236  0.000   -  
OGLE-LMC-T2CEP-032 14.011 14.992  44.5611948 0.0144559  2152.87623  0.347  0.145 5.784  0.027 2.303
OGLE-LMC-T2CEP-033 15.788 16.468   9.3945760 0.0001730   722.00042  0.201  0.085 4.248  0.070 3.274
OGLE-LMC-T2CEP-034 16.228 17.317  14.9109518 0.0005025   721.66857  0.702  0.101 0.978  0.068 2.668
