OGLE-LMC-ACEP-001  18.038 18.648  0.8502339 0.0000013  6000.63397  0.673  0.452 4.362  0.357 2.545
OGLE-LMC-ACEP-002  17.611 18.240  0.9766424 0.0000011  6000.31699  0.514  0.375 4.228  0.298 2.162
OGLE-LMC-ACEP-004  17.012 17.669  1.8618463 0.0000026  6000.56192  0.651  0.474 4.858  0.232 3.324
OGLE-LMC-ACEP-007  17.694 18.209  0.8963997 0.0000009  6000.07908  0.720  0.396 4.232  0.280 1.952
OGLE-LMC-ACEP-010  18.034 18.688  0.8342050 0.0000007  6000.33826  0.687  0.460 4.299  0.369 2.372
OGLE-LMC-ACEP-011  17.676    -    0.9986572 0.0000253  6000.02883  0.322  0.235 4.645  0.102 5.657
OGLE-LMC-ACEP-012  17.991 18.710  0.8289912 0.0000011  6000.73046  0.453  0.342 4.199  0.247 1.857
OGLE-LMC-ACEP-014  16.646 17.249  2.2913038 0.0000042  6000.28644  0.570  0.425 4.987  0.202 3.313
OGLE-LMC-ACEP-016  16.936 17.437  1.5456832 0.0000017  6001.26601  0.778  0.514 4.683  0.335 2.962
OGLE-LMC-ACEP-017  17.570 18.163  0.9299965 0.0000007  6000.44919  0.558  0.381 4.333  0.286 2.076
OGLE-LMC-ACEP-018  17.561 18.215  1.0185754 0.0000013  6000.19735  0.512  0.389 4.257  0.319 2.208
OGLE-LMC-ACEP-019  17.411    -    0.9094064 0.0000027  6000.44996  0.800  0.410 4.156  0.295 1.942
OGLE-LMC-ACEP-021  17.180 17.784  1.2958507 0.0000014  6001.01188  0.730  0.496 4.416  0.379 2.613
OGLE-LMC-ACEP-024  17.798 17.999  0.7946912 0.0000015  6000.71934  0.575  0.408 4.251  0.311 2.216
OGLE-LMC-ACEP-026  16.834 17.479  1.7387480 0.0000021  6000.34655  0.631  0.496 4.681  0.307 3.077
OGLE-LMC-ACEP-027  16.934 17.430  1.2670629 0.0000010  6001.14947  0.908  0.515 4.359  0.354 2.489
OGLE-LMC-ACEP-029  18.101 18.764  0.8017056 0.0000013  6000.13656  0.438  0.355 4.222  0.278 2.045
OGLE-LMC-ACEP-032  17.150 17.770  1.3160222 0.0000017  6001.20662  0.435  0.423 4.468  0.265 2.826
OGLE-LMC-ACEP-033  16.627 17.293  2.3469743 0.0000129  6000.88901  0.184  0.218 4.924  0.037 3.781
OGLE-LMC-ACEP-034  17.847 18.477  0.7342997 0.0000011  6000.12614  0.313  0.234 3.617  0.256 1.310
OGLE-LMC-ACEP-036  17.181 17.804  1.2579743 0.0000037  6000.86949  0.274  0.358 4.441  0.180 2.712
OGLE-LMC-ACEP-037  17.134 17.706  1.2577413 0.0000009  6000.17801  0.746  0.496 4.372  0.371 2.502
OGLE-LMC-ACEP-038  17.287    -    1.3352246 0.0000104  6000.13630  0.508  0.463 4.439  0.275 2.691
OGLE-LMC-ACEP-039  17.648 18.157  0.9924082 0.0000010  6000.82620  0.642  0.474 4.361  0.354 2.590
OGLE-LMC-ACEP-040  17.431 18.037  0.9605761 0.0000008  6000.19301  0.509  0.393 4.311  0.324 2.296
OGLE-LMC-ACEP-041  17.640 18.217  0.8781427 0.0000006  6000.76639  0.549  0.376 4.290  0.293 1.991
OGLE-LMC-ACEP-042  17.921 18.726  1.0790346 0.0000010  6000.11004  0.665  0.438 4.437  0.328 2.468
OGLE-LMC-ACEP-044  17.057 17.611  1.3085232 0.0000008  6000.57705  0.888  0.525 4.479  0.353 2.669
OGLE-LMC-ACEP-045  18.318 18.939  0.6784303 0.0000008  6000.55761  0.448  0.327 4.290  0.255 1.899
OGLE-LMC-ACEP-046  17.265 17.848  1.2637156 0.0000013  6000.83971  0.601  0.485 4.549  0.312 2.884
OGLE-LMC-ACEP-047  16.913 17.461  2.1779902 0.0000035  6001.72802  0.513  0.376 5.120  0.117 4.637
OGLE-LMC-ACEP-048  16.753 17.269  1.5458979 0.0000012  6001.14090  0.776  0.538 4.556  0.343 2.820
OGLE-LMC-ACEP-049  17.905 18.370  0.6448009 0.0000006  6000.00277  0.395  0.468 4.156  0.355 2.218
OGLE-LMC-ACEP-051  18.221 18.822  0.7086076 0.0000013  6000.11557  0.312  0.319 4.250  0.265 2.188
OGLE-LMC-ACEP-052  17.032 17.586  1.2625534 0.0000008  6000.17567  0.813  0.487 4.310  0.378 2.427
OGLE-LMC-ACEP-053  16.742 17.309  1.8881066 0.0000019  6001.34847  0.734  0.478 4.814  0.255 3.256
OGLE-LMC-ACEP-054  17.892    -    0.9802156 0.0000260  6000.14606  0.729  0.372 4.253  0.290 2.226
OGLE-LMC-ACEP-055  17.010 17.551  1.6066688 0.0000013  6000.72695  0.840  0.512 4.660  0.327 2.860
OGLE-LMC-ACEP-056  17.277 17.839  1.1240056 0.0000008  6000.49041  0.725  0.435 4.371  0.339 2.364
OGLE-LMC-ACEP-057  16.829 17.412  1.7100126 0.0000018  6001.20621  0.686  0.506 4.659  0.327 2.988
OGLE-LMC-ACEP-059  18.750 19.977  0.8348244 0.0000010  6000.56467  0.758  0.365 4.216  0.276 1.835
OGLE-LMC-ACEP-060  16.966 17.468  1.2757335 0.0000009  6000.28602  0.914  0.524 4.425  0.351 2.606
OGLE-LMC-ACEP-061  17.790 18.410  0.8480737 0.0000008  6000.72943  0.661  0.358 4.202  0.272 1.871
OGLE-LMC-ACEP-062  17.162 17.668  1.0590940 0.0000009  6001.02482  0.737  0.451 4.200  0.272 2.058
OGLE-LMC-ACEP-063  18.013 18.819  0.8930277 0.0000009  6000.68200  0.551  0.375 4.282  0.276 1.985
OGLE-LMC-ACEP-064  17.000 17.604  1.3574659 0.0000008  6001.02105  0.829  0.521 4.381  0.371 2.555
OGLE-LMC-ACEP-065  17.067 17.585  1.3215397 0.0000008  6000.04146  0.869  0.547 4.599  0.325 2.765
OGLE-LMC-ACEP-066  17.582    -    1.0400712 0.0000040  6001.00294  0.586  0.391 4.252  0.310 2.308
OGLE-LMC-ACEP-067  17.760 18.396  0.8209216 0.0000006  6000.07787  0.602  0.346 4.124  0.264 1.742
OGLE-LMC-ACEP-068  18.205 18.781  0.6256462 0.0000005  6000.61106  0.720  0.494 4.200  0.382 2.376
OGLE-LMC-ACEP-069  16.757 17.421  1.5384240 0.0000012  6000.94761  0.641  0.525 4.626  0.335 2.830
OGLE-LMC-ACEP-072  17.032 17.616  1.0482142 0.0000006  6000.79183  0.877  0.452 4.304  0.326 2.206
OGLE-LMC-ACEP-073  16.856 17.337  1.4650589 0.0000010  6000.14309  0.815  0.533 4.464  0.346 2.674
OGLE-LMC-ACEP-074  16.903 17.625  1.5332332 0.0000107  6001.45321  0.318  0.373 4.518  0.180 2.937
OGLE-LMC-ACEP-075  17.876 18.490  0.6920857 0.0000011  6000.58106  0.328  0.288 4.160  0.250 1.774
OGLE-LMC-ACEP-076  17.000 17.647  1.5818257 0.0000021  6000.06544  0.561  0.488 4.618  0.297 2.999
OGLE-LMC-ACEP-077  17.423 18.119  1.1224965 0.0000022  6000.78177  0.323  0.344 4.344  0.204 2.455
OGLE-LMC-ACEP-079  17.155 17.654  1.1551707 0.0000006  6000.53166  0.888  0.494 4.392  0.351 2.451
OGLE-LMC-ACEP-080  17.352 18.004  1.0574918 0.0000017  6000.71676  0.315  0.319 4.333  0.192 2.412
OGLE-LMC-ACEP-081  17.905 18.486  0.8008406 0.0000012  6000.78685  0.541  0.390 4.304  0.282 2.075
OGLE-LMC-ACEP-084  17.033 17.859  2.0506071 0.0000128  6000.68511  0.260  0.280 4.823  0.084 3.123
OGLE-LMC-ACEP-085  17.358 17.974  0.9156319 0.0000047  6000.23353  0.751  0.417 4.290  0.271 2.127
OGLE-LMC-ACEP-086  17.858 18.459  0.8463146 0.0000012  6000.69467  0.748  0.382 4.185  0.276 1.932
OGLE-LMC-ACEP-087  17.112 17.743  1.4808126 0.0000356  6000.62212  0.454  0.427 4.726  0.229 3.047
OGLE-LMC-ACEP-089  17.020 17.562  1.2341547 0.0000014  6001.00273  0.713  0.485 4.390  0.381 2.608
OGLE-LMC-ACEP-091  16.801 17.314  1.4693000 0.0000011  6000.31951  0.850  0.547 4.522  0.351 2.729
OGLE-LMC-ACEP-092  16.773 17.399  1.7974751 0.0000075  6000.29299  0.366  0.406 4.720  0.176 3.122
OGLE-LMC-ACEP-096  18.017 18.630  0.6461302 0.0000009  6000.13980  0.678  0.363 4.043  0.255 1.517
OGLE-LMC-ACEP-097  17.269 17.767  1.0837525 0.0000006  6000.60244  0.844  0.458 4.334  0.338 2.238
OGLE-LMC-ACEP-098  17.079 17.608  1.4957513 0.0000024  6000.82758  0.667  0.492 4.716  0.318 3.144
OGLE-LMC-ACEP-099  17.141 17.754  1.5378367 0.0000044  6000.64115  0.425  0.431 4.745  0.189 3.206
OGLE-LMC-ACEP-101  16.912 17.620  1.6642622 0.0000035  6000.25733  0.615  0.477 4.679  0.301 3.013
OGLE-LMC-ACEP-102  17.313 17.973  1.2175239 0.0000070  6001.11631  0.762  0.473 4.438  0.395 2.637
OGLE-LMC-ACEP-103  17.867 18.389  0.7599737 0.0000007  6000.01091  0.608  0.457 4.288  0.353 2.418
